Vragen,VVD,PVV,D66,SP,CDA,GL-PvdA,PvdD
De regering moet ervoor zorgen dat de hoeveelheid vee minstens de helft kleiner wordt,-1,-1,1,-1,-1,1,1
De accijns op benzine gas en diesel moet omlaag,1,1,-1,1,1,-1,-1
Het eigen risico bij zorgverzekeringen moet worden afgeschaft,-1,-1,-1,1,1,1,1
Elke regio in Nederland moet een vast aantal mensen in de Tweede Kamer krijgen,-1,1,1,-1,-1,-1,-1
Mensen vanaf 65 jaar moeten gratis met de trein tram en bus kunnen reizen,-1,-1,-1,1,1,-1,-1
De regering moet meer investeren in opslag van CO2 onder de grond,1,-1,1,-1,-1,-1,-1
De regering moet ervoor zorgen dat Surinamers zonder visum naar Nederland kunnen reizen,-1,-1,1,1,1,1,1
Er moet ene wet komen waarin staat dat Nederland altijd 2% van het bruto binnenlands product uitgeeft aan defensie,1,-1,1,-1,1,1,-1
De overheid moet meer geld geven aan scholen voor lessen in kunst en cultuur ,-1,-1,1,1,-1,1,1
In Nederland moeten meer kerncentrales komen,1,1,1,-1,1,-1,-1